-1.3669,-1.28004,-1.90312,-3.10317,-1.70536,1.5708;
-1.36737,-1.20105,-1.98243,-3.01795,-1.70543,1.57076;
-1.36749,-1.02789,-2.10626,-2.95189,-1.70542,1.57075;
-1.36684,-1.51952,-1.68411,-3.22389,-1.70547,1.57071;
-1.36624,-1.66545,-1.52343,-3.34692,-1.70549,1.57084;
-1.58478,-1.48048,-1.75087,-3.06393,-1.90985,1.75689;
-1.72774,-1.57461,-1.67289,-3.03948,-2.07562,1.82736;
-1.14939,-1.23729,-1.94057,-3.10791,-1.52696,1.44017;
-1.05217,-1.21414,-1.95861,-3.11495,-1.52628,1.38869;
-1.61607,-1.28122,-1.94644,-2.9164,-1.98955,1.70305;
-1.78919,-1.26424,-1.9667,-2.88363,-2.13458,1.79807;
-1.89567,-1.39632,-1.87205,-2.88146,-2.13379,1.92503;
-1.77158,-1.43253,-1.8368,-2.91419,-2.06406,1.92521;
-1.5448,-1.67822,-1.53242,-3.21055,-1.79604,1.76036;
-1.59851,-1.81871,-1.36044,-3.2773,-1.77842,1.7602;
-1.5173,-1.80708,-1.3687,-3.26339,-1.73008,1.65623;
-1.53057,-1.70924,-1.48565,-3.25014,-1.7305,1.65629;
-1.22664,-1.52013,-1.68221,-3.26594,-1.70627,1.41491;
-1.13725,-1.58362,-1.61764,-3.2871,-1.7061,1.41495;
-1.08199,-1.46825,-1.73254,-3.24727,-1.7059,1.4147;
-1.17313,-1.46488,-1.7446,-3.18273,-1.70582,1.41478;
-1.15129,-1.06494,-2.06857,-3.04253,-1.52629,1.43971;
-1.07174,-0.96826,-2.11722,-3.06947,-1.5267,1.43969;
-1.24795,-0.951378,-2.15695,-2.94864,-1.56066,1.52203;
-1.248,-1.1237,-2.04464,-2.98074,-1.56069,1.52227;
-1.3669,-1.28003,-1.90308,-3.10318,-1.70537,1.57079;
-1.36737,-1.20107,-1.98243,-3.01796,-1.70544,1.57075;
-1.36751,-1.02787,-2.10624,-2.9519,-1.70544,1.57076;
-1.36683,-1.51949,-1.68412,-3.22387,-1.70548,1.57074;
-1.36623,-1.66541,-1.52341,-3.34693,-1.70548,1.57087;
-1.5848,-1.48048,-1.75088,-3.06394,-1.90986,1.75692;
-1.72773,-1.57458,-1.67293,-3.03947,-2.0756,1.82736;
-1.14939,-1.23729,-1.94059,-3.10793,-1.52696,1.44022;
-1.05216,-1.21415,-1.95861,-3.11491,-1.52624,1.38867;
-1.61608,-1.28125,-1.94645,-2.91636,-1.98955,1.70304;
-1.78922,-1.26424,-1.96667,-2.88368,-2.13454,1.7981;
-1.89564,-1.39632,-1.87206,-2.88146,-2.13381,1.92502;
-1.7716,-1.43255,-1.8368,-2.91425,-2.06404,1.92521;
-1.54479,-1.67825,-1.53244,-3.21055,-1.79601,1.76033;
-1.59854,-1.81873,-1.36049,-3.2773,-1.77842,1.76015;
-1.51729,-1.80706,-1.36872,-3.2634,-1.73009,1.65626;
-1.53055,-1.70923,-1.48567,-3.25014,-1.73047,1.65628;
-1.22664,-1.52014,-1.68221,-3.26594,-1.70629,1.41489;
-1.13725,-1.58361,-1.61767,-3.28707,-1.70604,1.41495;
-1.08195,-1.46828,-1.73253,-3.2473,-1.70589,1.41473;
-1.17313,-1.46487,-1.74458,-3.1827,-1.70584,1.41478;
-1.15129,-1.06494,-2.06855,-3.04255,-1.5263,1.43971;
-1.07175,-0.96832,-2.11722,-3.06947,-1.5267,1.43972;
-1.24795,-0.951413,-2.15698,-2.94865,-1.56069,1.52204;
-1.24801,-1.1237,-2.04464,-2.98071,-1.56072,1.52227;
-1.36688,-1.28004,-1.90305,-3.10318,-1.7054,1.57079;
-1.36738,-1.20108,-1.98241,-3.01797,-1.70543,1.57079;
-1.36749,-1.02789,-2.10624,-2.95187,-1.70544,1.57073;
-1.36737,-1.20108,-1.98244,-3.01793,-1.70544,1.57076;
-1.36751,-1.02787,-2.10621,-2.95188,-1.70543,1.5707;
-1.36685,-1.5195,-1.68409,-3.22388,-1.70547,1.57073;
-1.36622,-1.66544,-1.52339,-3.34692,-1.70547,1.57082;
